幼学琼林全鉴（珍藏版）, 著
素描头像骨骼肌肉剖析：国美格调,蒋铭科
经济法（中级2019全国会计专业技术资格考试辅导用书）,暂缺作者
财务管理（中级2019全国会计专业技术资格考试辅导用书）,暂缺作者
2020法律硕士联考真题全真演练（法学）,华成法硕
2020法律硕士联考考试分析配套考点详解综合课（非法学、法学）,马峰
2020法律硕士联考真题全真演练（非法学）,华成法硕
2020年法律硕士联考重要法条释解,主编，白文桥，郭志京
虚拟公共领域中的科学传播话语体系建构：以信息通信技术为例,王晶
新东方 考研英语题源报刊阅读：提高篇（2020）,新东方教育科技集团有限公司国内大学项目事…
苹果英语考研红皮书：2020张剑考研英语翻译与写作双向突破,张剑
TensorFlow深度学习（影印版 第2版）,Giancarlo Zaccone，Rezaul Karim
深度学习专题,中国信息与电子工程科技发展战略研究中心
2020 333教育综合真题汇编,徐影
非对称信息共享网络理论与技术,任勇，徐蕾，姜春晓，王景璟，杜军
建筑史（第43辑）,贾珺
拾回的记忆：同济大学档案馆馆藏实物汇编,同济大学档案馆
巴渝藏珍：重庆市第一次全国可移动文物普查总结报告暨收藏单位名录,幸军
邮票上的中国世界遗产,福建爱国拥军促进会
巧游故宫：发现故宫的60个细节,司俊峰
极致之美：从古至今的66件卓越艺术品,（意）露西娅·葛斯巴利尼，瑟琳娜…
几暇怡情：乾隆朝君臣书画特展,故宫博物院
故宫博物院藏石渠宝笈精粹,李湜
世界名表历史机芯大全,钟嘉杰，邵琦良
最后的一幅画,（法）贝尔纳·尚巴
常见有色宝石鉴赏,暂缺作者
不一样的视角看名画,许汝纮
开账：荣宝斋与二十世纪早期的北京艺术社会,王子琪
凯撒大帝：征服高卢罗马内战与帝制时代奠基（全景插图版）,（美）雅各布·阿伯特
国学茶座 第22期,主编，杜泽逊
中国传统文化教育发展报告（2018）,暂缺作者
2019中国渔业统计年鉴,农业农村部渔业渔政管理局，全国水产技术推…
社会变迁中的刑法发展,暂缺作者
当代大学生社会责任感培育实证性研究,刘峰
地方政府土地供应结构偏向行为及其对城市增长的影响研究,施建刚，徐奇升
初心一叶：党史中的人与事,曲青山 吴德刚 主编
党的历史知识简表集成：1921.7-2017.10,《党的历史知识简表集成》编写组
美国公共外交史论,胡腾蛟
当代阿拉伯研究：阿拉伯语语言文学学科发展与课程建设专辑2,刘欣路
近代蒙古文献大系见闻卷（全5册）,李红权，朱宪
十八世纪中朝文人交流研究（全2册）,徐毅
容庚北平日记（精装）,容庚 著，夏和顺 整理
国家与市场（精装）,黄国信
吴越春秋辑校汇考,汇考
这样的工作最出色,林大有
超感筑梦师4 不思议植物园,郭妮
低效杀手：让你聪明高效地工作,（美）海伦妮·塞古拉
旅游创业启示录：互联网+时代的中国旅游女性创客,朱迎波
Barron's 巴朗SAT高分直通车,（美）蒂姆·哈索尔，（美）丹尼斯…
创业管理,苗苗 等
创业基础,王高洁
自圆其说,周波
行在高处：拉萨和我的创业故事,暂缺作者
活法+做最好的自己（你要么出众 要么出局 愿你的青春永不散场）,唐云
综合素质拓展（1）,暂缺作者
大学生创新创业入门教程,廖益 赵三银 编
仪式感,杨洋
审辩式思维：创生激荡心灵的课堂,暂缺作者
对工作负责 让领导放心,姜正成
商海宝典：创业者必读的365个经典故事,郭运敏
华文全球史013 美洲奴隶贸易：起源、繁荣与终结,（美），约翰·伦道夫·斯皮尔斯
西方音乐史考研笔记,邹彦
古代文明（第13卷）,北京大学中国考古学研究中心，北京大学震旦…
21世纪上海纪事（2017-2018）,当代上海研究所
盛世风华：上海市文史研究馆庆祝中华人民共和国成立七十周年馆员书画艺术作品集,上海市文史研究馆
做最好的自己：青少年励志文学,暂缺作者
大学生安全知识指南,暂缺作者
中国礼仪：职场礼仪,彭露，程缨茵
中国礼仪：生活礼仪,洪夏子，刘彦萍，马丽，朱娜
中国礼仪：涉外礼仪,杨湘雨，谈馨，袁涤非
汉字会说话,税勇
精英都是细节控,艾里
让幸运来敲门,意林图书部
梦想101度,意林图书部
中国礼仪：服务礼仪,洪夏子，王姿琰，贺罗娜
你若在对岸，我必定勇敢,荠麦青青
公众演讲与提案：如何开口表达,连超
中国神话的图像学研究,王青
终身成长：自我管理与人生进阶指南,曹涛
快速阅读：速读是人生最好的投资,龚华钢
高效沟通,高山
优雅女神成长手册：婉婉有仪,白洁
留英芳华,金玉献
创新创业教育与创意素描课程教学的融合探索,沈名杰
2017中国志愿服务经济价值测度报告,关成华，涂勤
格局：修身修志大格局、做人做事高眼界,王长江
理解美国的非传统货币政策,郭强
货币之惑：华尔街复苏与美国经济萧条的逻辑,（美）乔治·吉尔德
如何寻求金融稳定（全球金融监管）,（美）乔治·尤盖斯
广东地税管理前沿：纳税服务篇,暂缺作者
优化分税制财政管理体制研究,王振宇 等
民间资本进入金融业的制度逻辑,孟飞
中国财政绩效报告（2019）,中国财政学会绩效管理研究专业委员会课题组…
税法：应用.技能.案例.实训,李贺
甘肃近代高等教育发展研究,买雪燕
遗产保护性利用与旅游规划研究,吴承照，王婧
酒店及旅游业市场营销（英汉对照）,李咪咪，徐惠群
中国旅游好案例,张北英
旅游目的地管理,程金龙
中国支付清算发展报告（2019）,暂缺作者
奶酪厨房,（美）克劳迪娅·卢塞罗
我们的食物,肖非，芦燕云，程文捷 等
我的社区,肖非，芦燕云 等
我们的特奥运动,肖非，芦燕云，程文捷 等
