幼学琼林全鉴（珍藏版）, 著
私法（第16辑第1卷总第31卷）,暂缺作者
新时代法律监督理论探索,谢鹏程
现代社会婚姻危机的伦理治理,赵一强，张云
南开法律评论（第十三辑）,《南开法律评论》编辑部
三晋法学（第十三辑）,陈讲红
互联网经济对反垄断法的挑战及对策,叶明
法律方法（第24卷）,陈金钊，谢晖
中国注释法学文库（13册 纸盒套装）,孟森 张君劢 等著
中国人权评论（第10辑）,张永和
一代幼教宗师张雪门,王任梅
关学后镇刘古愚,王琪玖
丹心照汗青：曾焕乾传,冯秉瑞
刘文典研究,马仁杰，黄伟，刘伟
影像常勋,常煊
儒藏 精华编87 经部春秋类公羊传之属,暂缺作者
儒藏 精华编86 经部春秋类公羊传之属,暂缺作者
诗经,希苗
十三经概论（精）,蒋伯潜
宋代吏部尚书研究,惠鹏飞
礼记选讲,姜国钧
武英殿十三经注疏（布面，精装八册）,齐鲁书社
论语（郑板桥书画珍藏版）,（清）郑板桥 著，（明）释智旭 注
春秋谷梁传精解：十三经精解,刘松来
空管法规与标准,暂缺作者
海洋法学研究（第3辑）,薛桂芳
全球化背景下的劳工问题研究：以国际法为视角,金铮
征募儿童的战争罪：以国际刑事法院第一案为视角,何田田
1982年联合国海洋法公约评注（第4卷）,暂缺作者
政府国际犯罪及其遏制机制研究,钱晓萍
中国海洋法年刊（2016）,暂缺作者
空间碎片的国际法治理,黄韵
我国海域使用管理与海洋环境保护领域的地方保护问题：管理现状与应对构想,于洋
国际关系精要（第七版）,（美）卡伦·明斯特，（美）伊万·…
国际海事安全条约法律问题研究,陈敬根
全球治理中的巴哈伊国际社团,吴正选
西方国际政治学：历史与理论（第三版）,王逸舟
海洋法学研究（第2辑）,薛桂芳
很高兴遇见你小猫比利,（英）露易丝·布斯
美洲公证法汇编,刘志云
中华人民共和国刑事诉讼法（2018年编审版）,本书编写组
中国古代法律文献研究 第十二辑,徐世虹
犯罪心理学总论,吴宗宪
马克思主义与法律学刊（2018年卷总第二卷）,李其瑞
最高人民检察院向全国人民代表大会常务委员会专项报告汇编（2004——2018）,最高人民检察院
最高人民检察院新闻发布会精选（2016-2017）,最高人民检察院
最高人民检察院工作报告汇编（1979—2018）,最高人民检察院
最高人民检察院新闻发布会精选（2014—2015）,最高人民检察院
刑事审判监督办案指引与案例参阅,北京市人民检察院
公检法办案指南（2018年第11辑）,姜启波，陈国庆，孙茂利
公民防范电信网络诈骗手册,《公民防范电信网络诈骗手册》编写组 编
美国未成年人法译评, 著；
实用法律文书写作（第三版）,，
法律修辞论证研究, 著
法律文书教程（第三版）, 编
法律文书探索与创新, 著
法学学位论文写作方法（第3版）, 著
中国司法语境中的法律修辞问题研究,None
最高人民法院民事诉讼文书样式 制作规范与法律依据：律师与当事人卷 ,法律应用研究中心 编
转型与嬗变：地方本科院校法学专业法律文书写作课程教学初探,None
发展中国家的职业培训,，
考证 考证：职业资格考证指南,，
中国灰领：知识经济时代的高技能操作与现场管理阶层, 著
培训技术,（英）莱斯利·瑞（Leslie Rae）著；王…
现代培训管理,著
上班族充电大师,（日）
上班族充电室：发挥自我进修守则,（日）
国际通行职业资格认证考试指南,编著
员工教育训练实务及案例,编
工人技术等级考试复习问答（电工分册）,主编
人事培训设计与操作实务全书,主编
乐在工作100招,（美）理查·
司法考试2020瑞达法考 国家统一法律职业资格考试 刘凤科讲刑法之精讲, 著
司法考试2020 国家统一法律职业资格考试专用：五年金题三阶集训（客观题试卷 全2册）,法律考试中心组 著
司法考试2020众合法考左宁刑事诉讼法专题讲座精讲卷, 著
2020年国家法律职业资格考试理论法宝典, 著
司法考试2020 2020国家统一法律职业资格考试记忆通,飞跃考试辅导中心 著
司法考试2020 国家统一法律职业资格考试专用：历年真题汇编及详解（2013-2018应试版）,法律考试中心 著
司法考试2020 国家统一法律职业资格考试：专题攻略·易错高频考点+常考法条（全2册）,法律考试中心 著
人才测评,，
民办高校创新创业人才培养探索与实践, 编
江苏人才发展报告（第二辑）, 等 著
遇事有法：生活法制手册,陈文琼 等
刑事办案法律适用全解,周文涛
2019中华人民共和国医疗法律法规全书（含全部规章）,法律出版社法规中心
工会会员法律手册（第3版）,张琦
中华人民共和国常用法律法规规章司法解释大全（2019年版 总第十二版）,司法部
办理公职人员违纪违法犯罪案件一书通,本书编写组
新编版最高人民法院司法观点集成：民商事卷增补（2018）,杜万华，刘德权，王松，俞宏雷，陈裕琨 著…
汉英中国法律词汇手册,於兴中
中国人民大学中国法律发展报告2018：2015—2017年中国法治满意度评估,朱景文
公检法办案指南（2018年第7辑）,姜启波，陈国庆，孙茂利
监察法应用一本通,钟晋
汉英公安常用词汇,广东省公安厅出入境管理局
国际法考前一本通,暂缺作者
行政法考前一本通,暂缺作者
不忘初心：上海市档案馆藏红色文献选萃,上海市档案馆,朱纪华
文献保护中英双解词语手册,田周玲，任珊珊，陈红彦
图书馆、情报与文献学研究的新视野（8）,中国社会科学情报学会，中国科学技术情报学…
国外图书情报知识图谱实证研究,肖明 著
中国高被引分析报告2015,曾建勋主编
公共图书馆信息资源建设规范研究,金胜勇，刘雁
文献情报的焦虑,曾建勋
档案保护技术,国家档案局 著
公共图书馆评估与城市图书馆发展研究：第二十九届全国十五城市公共图书馆工作研讨会论文集,李冬梅 编
图书馆馆藏数字资源开发与管理,韩新月 著，陈悦婷 著，许玉梅 著，李丹 著…
想象图书馆的未来：图书馆与信息机构情境规划,Steve O'Connor著，Peter Sidorko 著
民事行政检察工作30周年画册,暂缺作者
常熟市普法志（精）,暂缺作者
食品标签法院判决案例精选,暂缺作者
司法体制综合配套改革实践研究：以深圳前海合作区人民法院为样本,暂缺作者
昆明市中级人民法院精品案例（2018）,昆明市中级人民法院
戒毒人员体质测试指导手册（海南省司法行政戒毒系统运动康复工作指导用书）,王大安 编
印迹：媒体看检察2018故事,最高人民检察院 编
砥砺奋进（庆祝湖北省检察机关恢复重建四十周年）,暂缺作者
古城漫游记,福建省泉州市人民检察院，福建省泉州市鲤城…
检察调研指导（2018年第2辑 2018年检察理论研究年会专辑）,暂缺作者
最高人民检察院新闻发布会实录（2018）,暂缺作者
新时代最高人民检察院指导性案例及典型案例（第1辑）,暂缺作者
社区矫正理论与实务研究（第2卷）,邓中文
和道同行：和解道德经道篇,和振刚
庄子名言趣味识字诀,暂缺作者
道德经趣味识字诀,暂缺作者
EXCEL统计实验,樊玲
山西省第三次农业普查综合资料（精）,暂缺作者
基于Stata的数据分析流程,（美）斯考特·隆恩
问卷调查及统计分析方法：基于SPSS,朱红兵
经济管理类专业《统计学》实验教程：基于Excel/SPSS/Stata操作与应用,陈军
元曲三百首鉴赏（无障碍阅读 精）,（元）关汉卿
人间词话（珍藏详解版 精）,王国维
孙子兵法与三十六计（无障碍阅读 精）,（春秋）孙武
精编史记（无障碍阅读 精）,（西汉）司马迁
沈石溪十二生肖动物小说：蟒蛇的战争,沈石溪 等
沈石溪十二生肖动物小说：雄猴的战争,沈石溪 等
精编说文解字（无障碍阅读 精）,（汉）许慎
刀锋（精）,（英）威廉·萨默塞特·毛姆
严歌苓作品集：金陵十三钗,严歌苓
管理大师经典,哈佛商业评论
教师网络学习共同体与英语教学数字化融合创新,吴秉健
语料库与话语研究,许家金
刑事扣押制度研究,李庚强
当代中国贪污受贿犯罪定罪量刑标准问题研究,商浩文
中华人民共和国合同法（第四版 案例注释版）,中国法制出版社
中华人民共和国刑法（第四版 案例注释版）,中国法制出版社
报废机动车回收管理办法,中国法制出版社
2020法律硕士联考刑法分则深度解读（非法学、法学）,文运法硕
新时代公民法治素养,江必新
中华人民共和国检察官法 中华人民共和国人民检察院组织法,暂缺作者
信访条例,中国法制出版社
政府投资条例,中国法制出版社
中华人民共和国公司法：附公司法司法解释、、、、（一 二 三 四 五 2019年版）,中国法制出版社
澳门特区金融安全的法律保障、政策协调与技术支撑研究,娄世艳，李洪江，林德钦 等
股权众筹的法律制度构建研究,李杭敏
中国与英国知识产权转移近况,柴广成，黄阳，顾立平
中国知识产权年鉴2018,国家知识产权局
中国专利侵权诉讼指引,刘庆辉
城乡统筹背景下宅基地置换法律问题实证研究,孙建伟
人性中的善良天使,（美）斯蒂芬·平克
新中国农村人口政策及其演变,汤兆云
北美华侨华人专业人士发展,袁源
册亨布依戏人类学研究,吴晓梅，吴秋林，张合胤
人口论,（英）托马斯·罗伯特·马尔萨斯
人口老龄化及其社会经济影响,王一兵
生命的寻路人,（加拿大）韦德·戴维斯
人口新政背景下女性就业问题探索,金仙玉
食人神话：基于人类学与食人族传说的研究,（美）威廉·艾伦斯
礼物,（法）马塞尔·莫斯
刑事抗诉成功56例抗点精讲,福建省人民检察院
行政公益诉讼典型案例实务指引（食品药品安全 国有财产保护 国有土地使用权出让等领域）,最高人民检察院第八检察厅
中国刑事名案评析,翟海峰 等
14.中华人民共和国土地管理法：案例注释版（第四版）,中国法制出版社
最高人民检察院指导性案例（第十批至第十四批）,最高人民检察院
法治知行（第7辑）,冷传莉
谁来保护我 法官说案：未成年人权益保护与犯罪预防,周强
民商事二审典型案例及审判经验,胡云腾
中公教育2020山东省事业单位公开招聘工作人员考试教材：综合写作,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：考前冲刺试卷,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：历年真题精解公共基础知识,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：公共基础知识,李永新
网络工程师（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
软件设计师（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
程序员（第2版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
网络管理员（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
半月谈2019公务员考试真题2020省考用书 申论多省联考历年真题解析,半月谈图书编写组
半月谈2020国家公务员考试真题国考用书 申论历年真题解析,半月谈图书编写组
半月谈2020国家公务员考试冲刺卷国考 申论考前预测仿真卷,半月谈图书编写组
半月谈公务员考试用书行测题库 言语理解与表达高分必刷题,半月谈图书编写组
半月谈2019事业单位考试通用教材用书,半月谈图书编写组
半月谈2020国家公务员考试教材2019国考题库押题用书 申论热点预测宝典,半月谈图书编写组
HR法律实战案例课, 著
金融投资商品法律制度研究, 著
保全与执行一本通：法律规范、胜诉实战与典型案例详解,，
中华人民共和国最高人民法院案例选（第二辑）,中国应用法学研究所 著
商业特许经营法律指南：核心问题解答与文件编制,盈科律师事务所 著
前沿技术领域专利竞争格局与趋势（VI）,国家知识产权局专利分析和预警工作领导小组…
向欺凌说不！学生欺凌预防与治理30讲,盈科律师事务所 著
生活中的法学：法律问题与法律思维, 著
矿产资源案件胜诉实战指南：疑难案件办案思路和实务要点详解,，
公安民警执法办案常用手册（第十二版）,中国法制出版社 著
知识产权司法鉴定, 著
知识产权法律及实务讲座精选, 著
中国企业用工法律制度, 著
中国保险法律制度, 著
中国民事纠纷解决法律制度, 著
中国涉外民事关系法律适用制度, 著
教育法治：理论策略实践（2015-2016上海市教育法学人才培养计划研究成果精编）,暂缺作者
意见裁判主义释法,陆而启
作为法律价值的整体性：以德沃金整体性法律观为中心,樊安
我国成年人监护制度立法完善研究,陈钊
诉讼法学理论新苑（第1卷）,卞建林
链之以法,（美）凯文·沃巴赫
医事法案例教程,刘艳红
科技与法律的博弈：大数据时代的隐私保护与被遗忘权,王沛莹
职务犯罪案例解析,冀洋
现代高校建设中的人事体制改革法律问题研究,谌瑜 等
西潮与新潮：蒋梦麟回忆录,蒋梦麟
丁伟围棋之路,李毅
时号本事考,朱大银
剩下的世界：瓦伊达电影自传,（波兰）安杰伊·瓦伊达 著
又见并蒂莲花开,迟焕彩男
印度近代瑜伽之光：辨喜的生平.思想与影响,闻中
赵松樵评传,赵绪昕
孙毓敏评传,李成伟
经历,邹韬奋
萨本栋传（英文版）,石慧霞，纪玉华
徽州诗经学史,朱宏胜
易经之三元解读与三维英译,王晓农
社会培训机构设置标准、培训计划、培训大纲,中华人民共和国劳动和社会保障部培训就业司…
丰田一线人才培养法,[日] 
新建本科院校校企合作协同创新人才培养模式研究与实践,，
高效布置任务的27个方法,[日] 出口治明 著，李战军，姜茉然 译
人物志译注,[三国魏] 
浙江人才发展蓝皮书（2019）,中共浙江省委人才工作领导小组办公室，浙江…
上海科技人才发展研究报告（2019）, 编
宁波人才发展报告2019, 编
上海全球城市人才资源开发与流动战略研究, 著
卓越农业人才培养机制创新,，
地方本科院校应用型人才培养评价体系研究, 著
中国科技人才发展报告（2018）,中华人民共和国科学技术部 著
多维协同人才培养模式案例及分析,，
广东专业技术职称申报指南,苏炜，梁少林，马妙仪，李洁儒 著
双对接 四合作人才培养模式的研究与实践：以广西工业职业教育集团化办学为例, 等 著
人才测评：理论、方法、工具、实务（微课版 第2版）,，
民事诉讼法考前一本通,暂缺作者
刑事诉讼法考前一本通,暂缺作者
人大工作常用法律汇编（2018年版）,全国人大常委会办公厅研究室
婚姻继承法律指引实用全书,法律出版社法规中心
公检法办案指南（2018年第4辑）,颜茂昆，陈国庆，孙茂利
招投标法律法规适用研究与实践：投标文件编制要点与技巧,张启浩
合同必备法律指引实用全书,法律出版社法规中心
公司企业法律指引实用全书,法律出版社法规中心
女职工权益维护法律知识微手册（修订版）,暂缺作者
合同法总则研究（上下册）,朱广新
全国各高级人民法院工作报告汇编（2018）,本书编写组
档案事业管理学,黄静
朱熹语录文献语言研究,冯青
典学集：新闻传播学卷,余秀才
基于格值逻辑的语义归结自动推理,张家锋 著
人大 档案 记忆 第一辑,中国人民大学档案馆 编
图书馆学研究进展,黄如花,司莉,吴丹
质性文本分析：方法、实践与软件使用指南,伍多·库卡茨
绍兴图书馆古籍普查登记目录（套装全三册）,绍兴图书馆
嘉兴市图书馆古籍普查登记目录,嘉兴市图书馆 编
网络环境下图书馆的用户研究与信息服务,谌爱容
国家图书馆藏稿钞本年谱汇刊（全三册）,陈红彦
公证信息化：理论前沿与技术规范,苏国强，刘志云
基于范式论批判的中国档案学发展研究,孙大东
人民法院改革开放40周年成就展：司法评论卷（1978-2018）,倪寿明
法治蓝皮书：四川依法治省年度报告No.5（2019）,李林 刘志诚 田禾 吕艳滨 刘雁鹏
法治蓝皮书：中国法治发展报告No.17（2019）,陈甦 田禾 吕艳滨 王小梅
法治蓝皮书：珠海法治发展报告No.1（2019）,张 强 田 禾 吕艳滨 王祎茗
最高人民检察院指导性案例（2018）,（不署
智慧检务概论：检察机关法律监督的科技智慧,赵志刚，金鸿浩
最高人民法院发布的服务保障新时代生态文明建设典型案例,暂缺作者
养活自己福报社会：云南省监狱系统培训服刑人员的小故事,暂缺作者
西北生态法治专题研究,吕志祥 等
机械制图与AutoCAD,暂缺作者
液压气动标准汇编：通用卷,暂缺作者
液压气动标准汇编：液压传动和控制卷（上）,暂缺作者
液压气动标准汇编：密封装置卷,暂缺作者
残余应力基础理论及应用,高玉魁
注塑机使用维修200例,李培元，谢鹏程
中国天然气产业可持续发展系统标度及优化研究,孙仁金，曹峰
纺织品与皮肤,暂缺作者
中国棉纺织行业2018年度发展研究报告,暂缺作者
水泵及泵系统（精）,James B.Rishel
数据可视化分析：基于R语言,贾俊平
历史统计学 中国统计学史,卫聚贤
铿锵前行的脚步：国家统计局鹰潭调查队成立十周年成就集萃,暂缺作者
四川卫生健康统计年鉴2017,四川省卫生和计划生育委员会
挑大学 选专业高考志愿填报指南-2019,武书连
大统计中的小问题研究,谢忠秋
统计学实验,黄应
重庆市统计数库建设探索与实践,暂缺作者
非日常事项会计,张莉萍
中国环境统计年鉴-2018,国统局
长江经济带发展统计年鉴-2018,领导小组办公室
中国劳动统计年鉴-2018,国统局
统计学,刘定平
一带一路人文交流大数据报告（2018）,《一带一路人文交流大数据报告（2018）》编…
广西调查年鉴（精）,暂缺作者
石羊河流域水利问题研究与实践,金彦兆，胡想全，雒天峰，王军德，程玉菲，…
混凝土坝强地震损伤破坏的数值模拟,钟红，林皋，胡志强，李春雷，郭胜山
水工建筑物新材料及高效施工技术,李林，刘鲁强，陈建国，郭晋川
掺气水流空泡动力学特性研究,郭志萍
水轮发电机组现场试验与分析技术,中国长江电力股份有限公司，北京中元瑞讯科…
中国江河湖泊,本社
语料库与学术英语研究,姜峰
司空图二十四诗品曲解集注,林华
习近平谈一带一路（法 精装）,习近平
习近平谈一带一路（英 精装）,习近平
中国著名帝王：武则天传（全新彩图版）,夏红梅
侬城逸事,李约热
四十自述（大字版）,胡适
问西东：新英格兰游学记,罗维
专利检索之道,魏保志
劳动与社会保障法：规范与应用,岳宗福，秦敏
犯罪学论坛（第五卷）,严励，岳平
丝绸之路经济带生态安全立法问题研究,胡珀
中华人民共和国婚姻法：案例注释版（第四版）,中国法制出版社
企业专利工作应用手册,国家专利信息人才项目-南光电行业专利信息…
基于区块链的物联网项目开发,（巴西）马克西米利亚诺·桑托斯
政府采购招标实务与案例,姜晨光
国家认监委实验室能力验证技术报告汇编,暂缺作者
中国家庭金融租赁研究,甘犁
中国一带一路投资安全研究报告（2019）,暂缺作者
便携背题本：历史（全1册通用第7版浙江卷）,暂缺作者
热力学建筑原型,李麟学
书籍设计教程,姚相君
共同体的生命之流：岷江上游羌村社区的灾难人类学研究,王海燕
澳门特区应对人口老龄化研究,叶桂平，王心，林德钦
非洲的人类开发：实践与文化人类学/日本对非研究译丛,（日）松园万龟雄，绳田浩志，石田慎一郎
社会文化人类学初探（增订本）,和少英
人口社会学：基于人口行为视角的研究,张俊良
弱势与生存：关于同妻群体的虚拟社会人类学研究,唐魁玉
中山大学人类学博物馆馆藏珍品,郑君雷
人口管理改革与社会保障包容：地方经验和总体设计,张展新
海南人口与生态问题历史研究,张朔人詹兴文
人口与性健康教育,暂缺作者
社会融合：新时代中国流动人口发展之路,徐水源
统筹解决人口问题的理论与实践研究,王学义，王晟哲，张冲，何兴邦
甘肃姚村调查：社会网络视角下一个村落的生育变迁,冯解忧
流动人口社会融合蓝皮书：中国城市流动人口社会融合评估报告No.1,肖子华
人口与劳动绿皮书：中国人口与劳动问题报告No.19,张车伟
现代中国人口联大琐记,陈达
人口预测方法与应用,王广州
行政典型案例及审判经验,郭修江，蔡小雪
再审疑难案件法官评述,索宏钢
民事法律文件解读2019.5（总第173辑）,选组
民事法律文件解读2019.4（总第172辑）,选组
中国法院2019年度案例 刑事案例一：犯罪、刑罚的具体运用、证据、程序及其他,国家法官学院案例开发研究中心
半月谈2020国家公务员考试教材2019国考用书 出题人讲行测,半月谈图书编写组
半月谈2020国家公务员考试教材2019国考用书 申论实战题库,半月谈图书编写组
半月谈2020国家公务员考试教材2019国考用书 公考热点解析,孙爱东
半月谈2020国家公务员考试教材2019国考用书 阅卷人讲申论,半月谈图书编写组
半月谈2020国家公务员考试教材2019国考用书 申论素材宝典,半月谈图书编写组
系统架构设计师历年真题解析,薛大龙
中公教育2019山东省公务员录用考试教材：面试冲刺卷,李永新
中公教育2020国家公务员录用考试教材：历年真题+全真模拟预测试卷银保监法律类专业知识,李永新
中公教育2019军队文职人员招聘考试教材：面试全攻略,李永新
中公教育2020国家公务员录用考试教材：银保监法律类专业知识,李永新
公务员考试主观性试题命制与研究,李葱葱
行政事务处理人员培训教程（二级 一级）,孙宗虎，李艳
办文办会办事能力指导与训练（第二版）,王德，李林，李征
中国反不正当竞争法律制度,赵旭东 著，周昀 主编  赵婧  副主编 编
民商法实务精要7, 著
合同起草审查指南：三观四步法,，
图解私募股权基金：法律实务操作要点与难点, 著
房屋买卖、租赁纠纷案件胜诉实战指南, 著
证券期货行政处罚案例解析（第二辑）,中国证券监督管理委员会行政处罚委员会 著…
民间借贷纠纷案件胜诉实战指南,，
资本·金融·地产：精选案例集,中伦研究院 著
宪法知识社区普及读本, 著
金融法律评论（第九卷）,吴弘
公平责任的比较法研究,毛东恒
浙江省劳动争议处理实用手册,陈松涛 王旭山
中国集体劳动关系法律规制研究,李孝保
法治政府建设理论与实务研究（2017）,暂缺作者
生态安全义务履行与人的致灾性法律控制,王建平
迈向法治理想国,伊士国
中国不动产法研究（2018年第2辑 总第18卷）,刘云生
法治城市研究（第2辑）,陈焱光，郑全新，张颖，徐梦醒
无直接利益冲突群体事件治理法治化研究,马雁
立法协商制度研究,陈建华
吴一峰画传,吴嘉陵
王富仁先生追思录,北京师范大学文学院
梁启超传,吴其昌
南怀瑾传,金鸿儒
钱穆评传,汪学群
绝知此事要躬行：新时代大学生主题调研报告,陈松
群体制裁对经销商窜货意愿的抑制作用研究：基于社会网络的视角,马斌
中国自由贸易试验区发展报告（2019版2018-2019）,暂缺作者
让数据说话：辅导员工作调研方法研究,暂缺作者
知识经济时代下企业人力资源管理,吴玥
新时代怎样做好发展党员工作,张晨裴浩
文化价值观与会计准则应用,胡本源
人力资源成本管控,任康磊
企业内部审计实务详解 审计程序 实战技法 案例解析,企业内部审计编审委员会
从PMP到卓越项目经理：项目管理实战技巧与案例解析（第2版 修订版）,（美）琳达-克雷兹-扎瓦尔，特里-瓦格纳
高校人力资源与行政改革研究,董彦霞
云南少数民族古籍珍本集成（第36卷白族 精）,暂缺作者
云南少数民族古籍珍本集成（第37卷白族 精）,暂缺作者
云南少数民族古籍珍本集成（第31卷傣族 精）,暂缺作者
云南少数民族古籍珍本集成（第32卷傣族 精）,暂缺作者
云南少数民族古籍珍本集成（第40卷彝族 精）,暂缺作者
云南少数民族古籍珍本集成（第35卷白族 精）,暂缺作者
云南少数民族古籍珍本集成（第33卷傣族 精）,暂缺作者
云南少数民族古籍珍本集成（第34卷白族 精）,暂缺作者
五四运动画传：历史的现场和真相,丁晓平
马瑞芳话《三国演义》,马瑞芳
马瑞芳话《水浒传》,马瑞芳
马瑞芳话《西游记》,马瑞芳
岭东日报潮嘉新闻梅州客家侨乡史料选编（上下）,暂缺作者
清代徽州祭祖研究,何巧云
洪山宝通寺志长春观志（精）,（清）天正
唐人街：毛岛往事,（法）帕斯卡尔·修
甘蔗收割者：圭亚那契约华工史,特里夫·苏阿冠
澳新军团中的华裔军人：1885-1919,（澳）康爱德
古城辰阳,暂缺作者
杭州色调：第6季四大调,祁达
口述实录：武汉经济技术开发区30年1988-2018,暂缺作者
蔚县记忆,宋苗，方子春
人才培养模式的改革与创新：中国人民大学大学英语教学改革研究论文选（第2辑）, 编
艺术类高校创新型应用理论人才培养研究, 编
消防部队基层指挥人才培养模式研究：以公安消防部队高等专科学校为例, 编
别让不好意思害了你, 编
回话的技术, 编
不动产登记实务参考手册,宁夏不动产登记局，宁夏不动产登记事务中心…
上海市公证办理申请指南,上海市公证协会
上海市公证办理业务手册,上海市公证协会
人民检察院司法责任制学习资料,最高人民检察院司法体制改革领导小组办公室…
海盐县检察志（精）,海盐县检察志编纂委员会
浙江省公务员学法用法培训教材,暂缺作者
泾源县检察志（精）,暂缺作者
侦查监督办案规范手册,最高人民检察院侦查监督厅
盐池县检察志（1936-2016 精）,暂缺作者
纪检监察工作常用法规全书（第5版 精）,暂缺作者
变革与发展：大学图书馆的探索和实践, 主编
中国图书馆学报年刊：2016（英文版）,中国图书馆学报编辑部
河北省图书馆古籍普查登记目录,《河北省图书馆古籍普查登记目录》编委
西南大学图书馆古籍普查登记目录,本书编委会
复旦大学图书馆古籍普查登记目录（全三册）,本书编委会
规范标识与符号（第二版）,（美）米斯-赫拉（Mies Hora）著 沈一鸣 张…
中国图书馆事业发展报告：数字图书馆卷,None
外文连续出版物采访工作手册,，
专业图书馆十二五期间事业发展报告,中国图书馆学会专业图书馆分会
司法文件选（2018.10总第418辑）,暂缺作者
公正审判权研究,羊震
检察技术与信息化（2016年第2辑总第016辑）,李如林
广东省高级人民法院案例选编（2016卷 汉文葡萄牙文）,暂缺作者
汉藏双语导读常用最高人民法院司法解释及指导案例：行政国家赔偿卷,暂缺作者
宁波市太阳能光热及地源热泵技术建筑应用典型案例评析,暂缺作者
平板显示释疑手册（第2辑）,焦峰，吴威谚，王海宏
食品保藏学,唐浩国
漆艺饰品设计与生产,邓莉文
白酒检验实用技术,郎定常
经典女装制板与放码（第2版）,杨辉
多功能无驱动结构微机械陀螺研究,吴立锋
原子滤光器原理及技术,罗斌
机电之光与创新同行：北京信息科技大学机电工程学院大学生科技创新优秀作品集锦,王红军
无人机大揭秘,司朝润，武伟超，周旭
机械制造工艺规程制订实训教程,暂缺作者
中国固定资产投资统计年鉴-2018,国统局
中国社会统计年鉴-2018,国统局
中国零售和餐饮连锁企业统计年鉴-2018,国统局
中国科技统计年鉴-2018,国统局
医用多元统计分析方法（第三版）,陈峰
中国农村贫困检测报告-2018,国统局
国民经济核算初级教程（第二版 经济类、统计类、管理类专业适用）,蒋萍，徐强，杨仲山
中国妇女儿童状况统计资料-2018,国统局
国际统计年鉴-2018,国统局
科学度量One：九 n中国统计改革落地深圳（全三卷）,杨新洪
区间值综合评价问题研究,陈骥，苏为华，张佳楠
混凝土坝变形性态监控理论与实践,牛景太，顾冲时，魏博文，彭友文
江苏省防汛抢险训练场演练手册,江苏省防汛防旱抢险中心，江苏省防汛抢险训…
水轮机调节系统应用及测试技术,贵州电网有限责任公司
见法涅槃：南北传《相应阿含经》百部对读,马洵侃，孙华
中医翻译研究教程,李照国
比较视域中的美育哲学,徐承
鸽子隧道,（英）约翰·勒卡雷（John le Carr…
田英章田雪松硬笔楷书描临本：三十六计,田雪松
东阳市博物馆古籍普查登记目录（精）,暂缺作者
临海市博物馆等六家收藏单位古籍普查登记目录（精）,暂缺作者
论语新学：基于时代的视角,李海峰
人间失格,（日）太宰治
设计研究新范式2：《装饰》海外论文精选,方晓风
2018\2019中国纺织工业发展报告,暂缺作者
最好的管理是互相成就：激发组织活力的沟通技巧与领导力,（日）吉田素文
钢结构工程施工教程,侯兆新，陈禄如
云服务视角下IT项目投资策略分析,卢山，陈丽娜
数字治理与政府改革创新,王印红
广告设计中的审美与美术创作研究,陈丽，刘媛，梁娜
海绵城市建设实践与探索：萍乡经验,李小豹 编
规划的混乱：探寻花楼街,胡晓青，何志森，张点
景观手绘表现技法,王炼
非洲经济史：内部发展与外部依赖（精装）,（美）拉尔夫·A.奥斯丁
亲属关系是什么，不是什么,Marshall Sahlins
巴黎地铁上的人类学家,马克·奥热
话语建构理据的多维探究,张春泉
中国人口年鉴2017,中国社会科学院人口与劳动经济研究所
北京人口蓝皮书：北京人口发展研究报告（2018）,洪小良，尹德挺，马小红
中山四讲,流心
战时中国农村的风习、改造与抵拒：兴隆场（1940—1941）,（加拿大）伊莎白，（美）柯临清 著；俞锡…
当代中国生态人类学,何俊
文化亲昵,（美）迈克尔·赫兹菲尔德
中国流动人口之矛盾：空间集聚与生活隔离,梁海艳
中国法院2019年度案例 土地纠纷,国家法官学院案例开发研究中心
刑事诉讼法及司法解释新编（含请示答复及指导案例）,中国法制出版社
中国法院2019年度案例 借款担保纠纷,国家法官学院案例开发研究中心
中国法院2019年度案例 民间借贷纠纷,国家法官学院案例开发研究中心
中国法院2019年度案例 侵权赔偿纠纷,国家法官学院案例开发研究中心
合同法及司法解释新编（含请示答复及指导案例）,中国法制出版社
中国法院2019年度案例 物权纠纷,国家法官学院案例开发研究中心
中公教育2019江苏省社区工作者招聘考试教材：历年真题汇编详解,李永新
ICDL项目策划,ICDL基金会
ICDL资讯安全,ICDL基金会
ICDL数字营销,ICDL基金会
面试的经验,粉笔公考
面试晨读集萃,粉笔公考
中国智造,共青团中央网络影视中心，中国青年网
国家文化贸易发展研究,冯洁
服务质量屋的改进与应用研究,王砚羽
2017中国志愿服务经济价值测度报告,关成华，涂勤
理解美国的非传统货币政策,郭强
货币之惑：华尔街复苏与美国经济萧条的逻辑,（美）乔治·吉尔德
如何寻求金融稳定（全球金融监管）,（美）乔治·尤盖斯
广东地税管理前沿：纳税服务篇,暂缺作者
优化分税制财政管理体制研究,王振宇 等
民间资本进入金融业的制度逻辑,孟飞
